name,sector,is_ai,revenue_mil_y2015,revenue_mil_y2016,revenue_mil_y2017,revenue_mil_y2018,revenue_mil_y2019,revenue_mil_y2020,revenue_mil_y2021,revenue_mil_y2022,revenue_mil_y2023,employees_y2015,employees_y2016,employees_y2017,employees_y2018,employees_y2019,employees_y2020,employees_y2021,employees_y2022,employees_y2023
iHeartMedia,Media,Non Ai,6319,6242,6274,6274,6326,6326,6326,6326,6642.3,19200,,18700,18700,18300,18300,18300,18300,18300
Illinois Tool Works,Industrials,Non Ai,15282,13405,13599,13599,13599,14109,14282,14455,15177.75,49000,48000,50000,50000,48000,45000,45000,46250,46000
Ingram Micro,Wholesalers,Non Ai,46487,43026,43026,43026,43026,43026,43026,43026,45177.3,21700,27700,27700,27700,27700,27700,27700,27700,27700
Ingredion,"Food, Beverages & Tobacco",Non Ai,5668,5621,5704,5832,5841,6209,6551.5,6894,7238.7,10850,11500,11000,11000,11000,11000,11500,11350,11700
Insight Enterprises,Technology,Ai,6704,6916.97,7172.54,7470.7,7811.45,8194.8,8791.12,9536.52,10431,6697,6697,6830,7028,7168,7275,7333,7413,7450
Insight Enterprises,Wholesalers,Ai,5316,5325.71,5337.37,5350.97,5366.51,5384,5411.2,5445.2,5486,5406,5761,5876,6046,6166,6258,6308,6377,6408
Insitro,Bio/Drug Discovery AI,Ai,0,0,0,18.37,20.2,22.22,24.44,26.88,29.57,0,0,0,0,0,0,0,0,0
Integrys Energy Group,Energy,Non Ai,6731,6731,6731,6731,6731,6731,6731,6731,7067.55,4524,,4524,4524,4524,4524,4524,4524,4524
Intel,Technology,Ai,55870,56280.51,56773.13,57347.85,58004.67,58743.6,59893.04,61329.84,63054,106700,107300,109446,112619,114871,116594,117526,118818,119412
Intercontinental Exchange,Financials,Non Ai,5958,5958,5958,5834,6276,6547,7857.5,9168,9626.4,5631,5631,5631,4952,5161,5989,7423.5,7243,8911
International Flavors & Fragrances,Chemicals,Non Ai,11656,11656,11656,11656,11656,11656,11656,11656,12238.8,24000,24000,24000,24000,24000,24000,24000,24300,24600
International Paper,Materials,Non Ai,26221,22365,21079,23302,23306,22376,22078,21780,22869,58000,56000,55000,56000,53000,51000,44600,45500,39000
Interpublic Group,Business Services,Non Ai,7537,7614,7847,7882,9714,10221,10231,10241,10753.05,,49200,49800,50200,54000,54300,54950,56275,58400
INTL FCStone,Financials,Non Ai,34063,34693,14755,29424,27623,27623,27623,27623,29004.15,1141,1231,1464,1607,1701,1701,1701,1701,1701
Intuit,Technology,Ai,5964,6350.4,6814.08,7355.04,7973.28,8668.8,9750.72,11103.12,12726,8900,8900,9078,9341,9527,9669,9746,9853,9902
IQVIA Holdings,Health Care,Non Ai,9739,9739,9739,9739,10412,11088,12481,13874,14567.7,55000,55000,55000,55000,,67000,73000,79666.6666666667,86000
J.B. Hunt Transport Services,Transportation,Non Ai,6165,6188,6556,7190,8615,9165,10666.5,12168,12776.4,20158,21562,22190,,27621,29056,31050.5,32744.75,37151
J.C. Penney,Retailing,Non Ai,12257,12625,12547,12547,12019,11167,11167,11167,11725.35,114000,105000,106000,,95000,90000,90000,91250,90000
J.M. Smucker,"Food, Beverages & Tobacco",Non Ai,5611,5693,7811,7392,7357,7838,7920.5,8003,8403.15,4775,7370,6910,7140,7000,7400,7250,6950,6700
J.P. Morgan Chase,Financials,Non Ai,101006,101006,101006,105486,105486,105486,105486,105486,110760.3,,234598,243355,243355,243355,243355,243355,243355,243355
Jabil,Technology,Ai,18353,19217.29,20254.43,21464.43,22847.29,24403,26823,29848,33478,138000,138000,140760,144842,147738,149954,151153,152815,153579
Jabil Circuit,Technology,Non Ai,17914,17914,17914,17914,17914,17914,17914,17914,18809.7,142000,161000,161000,161000,161000,161000,161000,161000,161000
Jackson Financial,Financials,Non Ai,8848,8848,8848,8848,8848,8848,8848,8848,9290.4,3150,3150,3150,3150,3150,3150,3150,3292.5,3435
Jacobs Engineering Group,Engineering & Construction,Non Ai,12695,12115,10964,10023,14985,14985,14985,14985,15734.25,59900,56950,49350,49750,77600,77600,77600,77600,77600
Jacobs Solutions,Engineering & Construction,Non Ai,15464,15464,15464,15464,15464,15464,15464,15464,16237.2,50000,50000,50000,50000,50000,50000,51750,54175,58350
Jarden,Household Products,Non Ai,8287,8604,8604,8604,8604,8604,8604,8604,9034.2,33000,40000,40000,40000,40000,40000,40000,40000,40000
Jefferies Financial Group,Financials,Non Ai,12408,12408,12408,12408,8152,8152,8596,9040,9492,12700,12700,12700,12700,4700,4700,5128,5128,5556
JetBlue Airways,Transportation,Non Ai,6416,6416,6632,7015,7658,8094,8094,8094,8498.7,13343,14537,15986,17424,18268,19032,19032,18717.5,18785
Johnson & Johnson,Health Care,Non Ai,74331,70074,70074,76450,76450,82059,87917,93775,98463.75,126500,127100,126400,134000,135100,132200,136950,143175,152700
Johnson Controls,Motor Vehicles & Parts,Non Ai,43855,43855,40204,40204,40204,40204,40204,40204,42214.2,168000,,139000,139000,139000,139000,139000,139000,139000
Jones Financial,Financials,Non Ai,6333,6694,6694,6694,6694,6694,6694,6694,7028.7,40000,41000,41000,41000,41000,41000,41000,41000,41000
Jones Financial (Edward Jones),Financials,Non Ai,6632,6632,6632,7597,8594,9526,9845.5,10165,10673.25,43000,43000,43000,45000,47000,49000,49500,50000,52000
Jones Lang LaSalle,Financials,Non Ai,5430,5966,6804,7932,16318,17983,18675,19367,20335.35,58100,61500,77300,81900,90000,93400,93400,97500,103300
JP Morgan Chase,Financials,Non Ai,102102,102102,102102,102102,102102,102102,102102,102102,107207.1,241359,241359,241359,241359,241359,241359,241359,241359,241359
JPMorgan Chase,Financials,Non Ai,113899,113899,113899,113899,131412,142422,134812,127202,133562.1,252539,252539,252539,252539,256105,256981,264003,275133,293723
